7LJfrH,game,4,12621851,12840242,11824639,4573552,12573677,,12338801;12339347,12454664,15107285,1555171;1555171;13014383;13014383,0,0,0
Ktgtt6,game,4,15594638,14824238,15609182,13245200,7110289,,,14654675,16195115,12308369;12712517,0,0,0
FwVcCJ,game,4,15594701,14519828,16357988,13658441,9435804,2215506,14400263,12279560,12797411,0,0,0,0
dhy48d,game,5,15594638,12213866,15619835,9805785,11576915,,7395145,13152452,6227724,0,0,0,0
zV68TW,game,4,12621851,14444267,13059749,9470802;9470802,9287271,,,12279614,7946788,0,0,0,0
CXPV3C,broadcast,default,12622091,14398400,15381461,9480372,14677715,,13538642;13538642,15025229,5787720,0,0,0,0
qnHzK8,game,5,12621851,14398400,11577782,6553372,14676908,,7136788;7136788,12279560,17318162,12308369,0,0,0
MNQD4D,game,4,15594638,14837663,15612413,6935857;6935857,14677214,,12339347;16587443,13299434,15576914,10103832;10650918,0,0,0
fBbhP6,game,4,13619990,14519828,13281752,13523318;13523318,14677715,,7395145;12446282,10762824,0,0,0,0,0
YGGqqs,game,5,12596540,14398400,13696388,6233946,9946512,2215506,7136755,9234321,6537512,0,0,0,0
jxGqqs,game,4,15594638,14873729,15604190,6233946,14677715,2215506,7136788,17308433,15711722,14102324,0,0,0
hZRTwP,game,3,16101353,13512254,16169339,4571593;4571593,9946512,,7136788,13276412,0,0,0,0,0
FkdD4D,graphics,autodesk 3ds Max,12622319,12213866,11583224,13401038;13401038,14677715,1706996,5782625;7136788,10762809,13734242,12276197,0,0,0
hXPV3C,broadcast,default,12622091,14398094,15467624,6233998;6233998,6217539,,12660173;12660128,17661059,10443903,12308369;12308369,0,0,0
GFt8TW,work,default,14927615,0,13059749,6233946,9287220,563293,11097639,15284750,11277429,12712517,0,0,0
7bXbt6,game,3,12621851,14448719,11578325,13119518,13853267,,7136788,15284750,11277300,13682645;13682645;7552942;7552942,0,0,0
3J8J7P,video,movavi,12621851,14857991,11934316,11858833,9435804,,13161338,13152452,17317955,5606395,0,0,0
dvzNnQ,game,3,13619939,12821741,13422776,16450874;16450874;16450874;16450874,15027947,2215506,7136755;13190573,10910196,7978027,4529664,0,0,0
hw68TW,design,adobe photoshop,16101083,15428156,15610604,15803078,9946512,,13161353,9647874,13966172,0,0,0,0
YKBcCJ,game,3,12621851,13723676,11591798,13406225;13406225,9946512,,7136788,13275992,15279728,11492643;11492643;11492643,0,0,0
